target_user,user_profile,title,company,location,skills_required,experience_required,description,url,posted_date,search_timestamp
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:14:01
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:14:01
Geeta,geeta,Python Developer,Amazon,Bangalore,"['Python', 'Django', 'API development']",2-4 years,Python Developer for backend services,https://amazon.jobs/en/jobs/pythondeveloper,2026-01-01,2026-01-01 12:14:01
Geeta,geeta,Data Scientist,Google,Bangalore,"['Python', 'pandas', 'scikit-learn', 'machine learning']",2-5 years,Data Scientist for ML projects,https://careers.google.com/jobs/datascientist,2025-12-30,2026-01-01 12:14:01
Geeta,geeta,Machine Learning Engineer,Microsoft,Bangalore,"['Python', 'TensorFlow', 'machine learning']",3-5 years,ML Engineer for AI products,https://careers.microsoft.com/jobs/mlengineer,2026-01-01,2026-01-01 12:14:01
Geeta,geeta,Analytics Engineer,Flipkart,Bangalore,"['Python', 'pandas', 'data analysis']",2-4 years,Analytics Engineer for data pipelines,https://flipkart.com/careers/analyticsenginner,2025-12-31,2026-01-01 12:14:01
Geeta,geeta,Backend Developer,Razorpay,Bangalore,"['Python', 'FastAPI', 'databases']",2-5 years,Backend Developer for payment systems,https://razorpay.com/jobs/backenddeveloper,2026-01-01,2026-01-01 12:14:01
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:14:10
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:14:10
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:14:10
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:14:10
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:14:10
Geeta,geeta,Python Developer,Amazon,Bangalore,"['Python', 'Django', 'API development']",2-4 years,Python Developer for backend services,https://amazon.jobs/en/jobs/pythondeveloper,2026-01-01,2026-01-01 12:14:10
Geeta,geeta,Data Scientist,Google,Bangalore,"['Python', 'pandas', 'scikit-learn', 'machine learning']",2-5 years,Data Scientist for ML projects,https://careers.google.com/jobs/datascientist,2025-12-30,2026-01-01 12:14:10
Geeta,geeta,Machine Learning Engineer,Microsoft,Bangalore,"['Python', 'TensorFlow', 'machine learning']",3-5 years,ML Engineer for AI products,https://careers.microsoft.com/jobs/mlengineer,2026-01-01,2026-01-01 12:14:10
Geeta,geeta,Analytics Engineer,Flipkart,Bangalore,"['Python', 'pandas', 'data analysis']",2-4 years,Analytics Engineer for data pipelines,https://flipkart.com/careers/analyticsenginner,2025-12-31,2026-01-01 12:14:10
Geeta,geeta,Backend Developer,Razorpay,Bangalore,"['Python', 'FastAPI', 'databases']",2-5 years,Backend Developer for payment systems,https://razorpay.com/jobs/backenddeveloper,2026-01-01,2026-01-01 12:14:10
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:19:13
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:19:13
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:19:13
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:19:13
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:19:13
Yogeshwari Mane (Geeta),geeta,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', '2D Drafting', 'Technical Drawing']",2-4 years,AutoCAD Designer for construction projects,https://lntecc.com/careers/autocaddesigner,2026-01-01,2026-01-01 12:19:13
Yogeshwari Mane (Geeta),geeta,Interior Designer,Godrej Properties,Bangalore,"['Interior Design', 'SketchUp', '3Ds Max', 'Space Planning']",2-5 years,Interior Designer for residential projects,https://godrejproperties.com/careers/interiordesigner,2025-12-30,2026-01-01 12:19:13
Yogeshwari Mane (Geeta),geeta,Estimation Engineer,Prestige Group,Bangalore,"['Quantity Surveying', 'Estimation', 'AutoCAD']",3-5 years,Estimation Engineer for real estate projects,https://prestigeconstructions.com/careers/estimation,2026-01-01,2026-01-01 12:19:13
Yogeshwari Mane (Geeta),geeta,Design Engineer,Brigade Group,Bangalore,"['Revit', 'AutoCAD', 'Structural Design']",2-4 years,Design Engineer for construction planning,https://brigadegroup.com/careers/designengineer,2025-12-31,2026-01-01 12:19:13
Yogeshwari Mane (Geeta),geeta,Quantity Surveyor,Sobha Limited,Bangalore,"['Quantity Surveying', 'Cost Estimation', 'Project Planning']",2-5 years,Quantity Surveyor for residential projects,https://sobha.com/jobs/quantitysurveyor,2026-01-01,2026-01-01 12:19:13
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:19:19
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:19:19
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:19:19
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:19:19
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:19:19
Yogeshwari Mane (Geeta),geeta,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', '2D Drafting', 'Technical Drawing']",2-4 years,AutoCAD Designer for construction projects,https://lntecc.com/careers/autocaddesigner,2026-01-01,2026-01-01 12:19:19
Yogeshwari Mane (Geeta),geeta,Interior Designer,Godrej Properties,Bangalore,"['Interior Design', 'SketchUp', '3Ds Max', 'Space Planning']",2-5 years,Interior Designer for residential projects,https://godrejproperties.com/careers/interiordesigner,2025-12-30,2026-01-01 12:19:19
Yogeshwari Mane (Geeta),geeta,Estimation Engineer,Prestige Group,Bangalore,"['Quantity Surveying', 'Estimation', 'AutoCAD']",3-5 years,Estimation Engineer for real estate projects,https://prestigeconstructions.com/careers/estimation,2026-01-01,2026-01-01 12:19:19
Yogeshwari Mane (Geeta),geeta,Design Engineer,Brigade Group,Bangalore,"['Revit', 'AutoCAD', 'Structural Design']",2-4 years,Design Engineer for construction planning,https://brigadegroup.com/careers/designengineer,2025-12-31,2026-01-01 12:19:19
Yogeshwari Mane (Geeta),geeta,Quantity Surveyor,Sobha Limited,Bangalore,"['Quantity Surveying', 'Cost Estimation', 'Project Planning']",2-5 years,Quantity Surveyor for residential projects,https://sobha.com/jobs/quantitysurveyor,2026-01-01,2026-01-01 12:19:19
Shweta,shweta,Power BI Developer,Accenture,Bangalore,"['Power BI', 'SQL', 'SSMS']",2-4 years,Looking for Power BI Developer with strong SQL skills,https://accenture.com/careers/powerbideveloper,2026-01-01,2026-01-01 12:19:26
Shweta,shweta,SQL Developer,Infosys,Bangalore,"['SQL', 'SSMS', 'stored procedures']",2-5 years,SQL Developer for data warehouse projects,https://infosys.com/careers/sqldeveloper,2025-12-30,2026-01-01 12:19:26
Shweta,shweta,BI Analyst,TCS,Bangalore,"['Power BI', 'SQL', 'data visualization']",1-3 years,BI Analyst for reporting and dashboards,https://tcs.com/careers/bianalyst,2026-01-01,2026-01-01 12:19:26
Shweta,shweta,Data Analyst,Wipro,Bangalore,"['SQL', 'Power BI', 'Excel']",2-4 years,Data Analyst for business intelligence,https://wipro.com/careers/dataanalyst,2025-12-31,2026-01-01 12:19:26
Shweta,shweta,Reporting Analyst,Cognizant,Bangalore,"['Power BI', 'SQL', 'reporting']",2-5 years,Reporting Analyst for financial reports,https://cognizant.com/careers/reportinganalyst,2026-01-01,2026-01-01 12:19:26
Yogeshwari Mane (Geeta),geeta,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', '2D Drafting', 'Technical Drawing']",2-4 years,AutoCAD Designer for construction projects,https://lntecc.com/careers/autocaddesigner,2026-01-01,2026-01-01 12:19:26
Yogeshwari Mane (Geeta),geeta,Interior Designer,Godrej Properties,Bangalore,"['Interior Design', 'SketchUp', '3Ds Max', 'Space Planning']",2-5 years,Interior Designer for residential projects,https://godrejproperties.com/careers/interiordesigner,2025-12-30,2026-01-01 12:19:26
Yogeshwari Mane (Geeta),geeta,Estimation Engineer,Prestige Group,Bangalore,"['Quantity Surveying', 'Estimation', 'AutoCAD']",3-5 years,Estimation Engineer for real estate projects,https://prestigeconstructions.com/careers/estimation,2026-01-01,2026-01-01 12:19:26
Yogeshwari Mane (Geeta),geeta,Design Engineer,Brigade Group,Bangalore,"['Revit', 'AutoCAD', 'Structural Design']",2-4 years,Design Engineer for construction planning,https://brigadegroup.com/careers/designengineer,2025-12-31,2026-01-01 12:19:26
Yogeshwari Mane (Geeta),geeta,Quantity Surveyor,Sobha Limited,Bangalore,"['Quantity Surveying', 'Cost Estimation', 'Project Planning']",2-5 years,Quantity Surveyor for residential projects,https://sobha.com/jobs/quantitysurveyor,2026-01-01,2026-01-01 12:19:26
Shweta Biradar,shweta,Data Analyst,Accenture,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Analyst role with focus on SQL, Python, Tableau",https://accenture.com/careers/data-analyst,2026-01-01,2026-01-01 12:24:22
Shweta Biradar,shweta,Business Analyst,Infosys,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Business Analyst role with focus on SQL, Python, Tableau",https://infosys.com/careers/business-analyst,2026-01-01,2026-01-01 12:24:22
Shweta Biradar,shweta,SQL Developer,TCS,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"SQL Developer role with focus on SQL, Python, Tableau",https://tcs.com/careers/sql-developer,2026-01-01,2026-01-01 12:24:22
Shweta Biradar,shweta,Data Engineer,Wipro,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Engineer role with focus on SQL, Python, Tableau",https://wipro.com/careers/data-engineer,2026-01-01,2026-01-01 12:24:22
Yogeshwari Mane,yogeshwari,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"AutoCAD Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://l&tconstruction.com/careers/autocad-designer,2026-01-01,2026-01-01 12:24:22
Yogeshwari Mane,yogeshwari,Interior Designer,Godrej Properties,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Interior Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://godrejproperties.com/careers/interior-designer,2026-01-01,2026-01-01 12:24:22
Yogeshwari Mane,yogeshwari,Estimation Engineer,GlobalTech,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Estimation Engineer role with focus on AutoCAD, SketchUp, 3Ds Max",https://globaltech.com/careers/estimation-engineer,2026-01-01,2026-01-01 12:24:22
Shweta Biradar,shweta,Data Analyst,Accenture,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Analyst role with focus on SQL, Python, Tableau",https://accenture.com/careers/data-analyst,2026-01-01,2026-01-01 12:25:19
Shweta Biradar,shweta,Business Analyst,Infosys,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Business Analyst role with focus on SQL, Python, Tableau",https://infosys.com/careers/business-analyst,2026-01-01,2026-01-01 12:25:19
Shweta Biradar,shweta,SQL Developer,TCS,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"SQL Developer role with focus on SQL, Python, Tableau",https://tcs.com/careers/sql-developer,2026-01-01,2026-01-01 12:25:19
Shweta Biradar,shweta,Data Engineer,Wipro,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Engineer role with focus on SQL, Python, Tableau",https://wipro.com/careers/data-engineer,2026-01-01,2026-01-01 12:25:19
Yogeshwari Mane,yogeshwari,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"AutoCAD Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://l&tconstruction.com/careers/autocad-designer,2026-01-01,2026-01-01 12:25:19
Yogeshwari Mane,yogeshwari,Interior Designer,Godrej Properties,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Interior Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://godrejproperties.com/careers/interior-designer,2026-01-01,2026-01-01 12:25:19
Yogeshwari Mane,yogeshwari,Estimation Engineer,GlobalTech,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Estimation Engineer role with focus on AutoCAD, SketchUp, 3Ds Max",https://globaltech.com/careers/estimation-engineer,2026-01-01,2026-01-01 12:25:19
Shweta Biradar,shweta,Data Analyst,Accenture,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Analyst role with focus on SQL, Python, Tableau",https://accenture.com/careers/data-analyst,2026-01-01,2026-01-01 12:25:27
Shweta Biradar,shweta,Business Analyst,Infosys,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Business Analyst role with focus on SQL, Python, Tableau",https://infosys.com/careers/business-analyst,2026-01-01,2026-01-01 12:25:27
Shweta Biradar,shweta,SQL Developer,TCS,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"SQL Developer role with focus on SQL, Python, Tableau",https://tcs.com/careers/sql-developer,2026-01-01,2026-01-01 12:25:27
Shweta Biradar,shweta,Data Engineer,Wipro,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Engineer role with focus on SQL, Python, Tableau",https://wipro.com/careers/data-engineer,2026-01-01,2026-01-01 12:25:27
Yogeshwari Mane,yogeshwari,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"AutoCAD Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://l&tconstruction.com/careers/autocad-designer,2026-01-01,2026-01-01 12:25:27
Yogeshwari Mane,yogeshwari,Interior Designer,Godrej Properties,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Interior Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://godrejproperties.com/careers/interior-designer,2026-01-01,2026-01-01 12:25:27
Yogeshwari Mane,yogeshwari,Estimation Engineer,GlobalTech,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Estimation Engineer role with focus on AutoCAD, SketchUp, 3Ds Max",https://globaltech.com/careers/estimation-engineer,2026-01-01,2026-01-01 12:25:27
Shweta Biradar,shweta,Data Analyst,Accenture,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Analyst role with focus on SQL, Python, Tableau",https://accenture.com/careers/data-analyst,2026-01-01,2026-01-01 12:25:32
Shweta Biradar,shweta,Business Analyst,Infosys,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Business Analyst role with focus on SQL, Python, Tableau",https://infosys.com/careers/business-analyst,2026-01-01,2026-01-01 12:25:32
Shweta Biradar,shweta,SQL Developer,TCS,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"SQL Developer role with focus on SQL, Python, Tableau",https://tcs.com/careers/sql-developer,2026-01-01,2026-01-01 12:25:32
Shweta Biradar,shweta,Data Engineer,Wipro,Bangalore,"['SQL', 'Python', 'Tableau']",2 years,"Data Engineer role with focus on SQL, Python, Tableau",https://wipro.com/careers/data-engineer,2026-01-01,2026-01-01 12:25:32
Yogeshwari Mane,yogeshwari,AutoCAD Designer,L&T Construction,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"AutoCAD Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://l&tconstruction.com/careers/autocad-designer,2026-01-01,2026-01-01 12:25:32
Yogeshwari Mane,yogeshwari,Interior Designer,Godrej Properties,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Interior Designer role with focus on AutoCAD, SketchUp, 3Ds Max",https://godrejproperties.com/careers/interior-designer,2026-01-01,2026-01-01 12:25:32
Yogeshwari Mane,yogeshwari,Estimation Engineer,GlobalTech,Bangalore,"['AutoCAD', 'SketchUp', '3Ds Max']",3.5 years,"Estimation Engineer role with focus on AutoCAD, SketchUp, 3Ds Max",https://globaltech.com/careers/estimation-engineer,2026-01-01,2026-01-01 12:25:32
